ID,Time,X,Y,
11, 5/19/2020 12:48:28 PM,-213,1490,Not same
11, 5/19/2020 12:48:29 PM,-223,1488,Not same
11, 5/19/2020 12:48:31 PM,-172,1445,Not same
11, 5/19/2020 12:48:32 PM,-173,1446,Not same
11, 5/19/2020 12:48:33 PM,-186,1452,Not same
11, 5/19/2020 12:48:35 PM,-184,1456,Not same
11, 5/19/2020 12:48:36 PM,-178,1450,Not same
11, 5/19/2020 12:48:38 PM,-184,1432,Not same
11, 5/19/2020 12:48:39 PM,-274,1311,Not same
11, 5/19/2020 12:48:40 PM,-389,1205,Not same
11, 5/19/2020 12:48:42 PM,-532,1034,Not same
11, 5/19/2020 12:48:43 PM,-636,1057,Not same
11, 5/19/2020 12:48:44 PM,-764,1090,Not same
11, 5/19/2020 12:48:45 PM,-772,1088,Not same
11, 5/19/2020 12:48:47 PM,-779,1088,Not same
11, 5/19/2020 12:48:49 PM,-842,1117,Not same
11, 5/19/2020 12:48:50 PM,-808,1120,Not same
11, 5/19/2020 12:48:52 PM,-793,1115,Not same
11, 5/19/2020 12:48:53 PM,-782,1136,Not same
11, 5/19/2020 12:48:55 PM,-635,1410,Not same
11, 5/19/2020 12:48:56 PM,-562,1574,Not same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Same
11, 5/19/2020 12:48:57 PM,-588,1690,Not same
11, 5/19/2020 12:49:11 PM,-584,1685,Not same
11, 5/19/2020 12:49:13 PM,-624,1476,Not same
11, 5/19/2020 12:49:14 PM,-643,1311,Not same
11, 5/19/2020 12:49:16 PM,-1020,1306,Not same
11, 5/19/2020 12:49:17 PM,-1013,1306,Not same
11, 5/19/2020 12:49:18 PM,-882,1309,Not same
11, 5/19/2020 12:49:20 PM,-968,1370,Not same
11, 5/19/2020 12:49:21 PM,-962,1368,Not same
11, 5/19/2020 12:49:23 PM,-963,1369,Not same
11, 5/19/2020 12:49:24 PM,-966,1371,Not same
11, 5/19/2020 12:49:25 PM,-957,1368,Not same
11, 5/19/2020 12:49:27 PM,-981,1380,Not same
11, 5/19/2020 12:49:28 PM,-981,1380,Not same
11, 5/19/2020 12:49:29 PM,-1083,1428,Not same
11, 5/19/2020 12:49:31 PM,-1188,1479,Same
11, 5/19/2020 12:49:31 PM,-1188,1479,Same
11, 5/19/2020 12:49:31 PM,-1188,1479,Same
11, 5/19/2020 12:49:31 PM,-1188,1479,Not same
11, 5/19/2020 12:49:35 PM,-1189,1479,Not same
11, 5/19/2020 12:49:38 PM,-1187,1478,Not same
11, 5/19/2020 12:49:40 PM,-1182,1476,Not same
11, 5/19/2020 12:49:41 PM,-950,1347,Not same
11, 5/19/2020 12:49:42 PM,-877,1266,Not same
11, 5/19/2020 12:49:44 PM,-800,1272,Not same
11, 5/19/2020 12:49:45 PM,-869,1288,Not same
11, 5/19/2020 12:49:46 PM,-943,1322,Not same
11, 5/19/2020 12:49:48 PM,-1002,1321,Not same
11, 5/19/2020 12:49:49 PM,-1001,1321,Not same
