ID,TimeStamp,X,Y
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:24 PM,478,1764
12, 5/19/2020 12:04:24 PM,-617,1706
13, 5/19/2020 12:04:16 PM,375,1770
,,,
11, 5/19/2020 12:04:36 PM,184,1609
12, 5/19/2020 12:04:36 PM,-602,1714
13, 5/19/2020 12:04:36 PM,351,1770
,,,
11, 5/19/2020 12:04:37 PM,110,1469
12, 5/19/2020 12:04:37 PM,-528,1667
13, 5/19/2020 12:04:37 PM,77,1690
,,,
11, 5/19/2020 12:04:39 PM,-47,1351
12, 5/19/2020 12:04:39 PM,-241,1324
13, 5/19/2020 12:04:39 PM,-314,1770
,,,
11, 5/19/2020 12:04:41 PM,-287,1241
12, 5/19/2020 12:04:41 PM,-122,1138
13, 5/19/2020 12:04:40 PM,-464,1770
,,,
11, 5/19/2020 12:04:42 PM,-395,1203
12, 5/19/2020 12:04:42 PM,-52,1107
13, 5/19/2020 12:04:40 PM,-464,1770
,,,
11, 5/19/2020 12:04:43 PM,-391,1174
12, 5/19/2020 12:04:43 PM,31,1089
13, 5/19/2020 12:04:40 PM,-464,1770
,,,
11, 5/19/2020 12:04:45 PM,-396,1117
12, 5/19/2020 12:04:45 PM,37,1083
13, 5/19/2020 12:04:41 PM,-628,1770
,,,
11, 5/19/2020 12:04:46 PM,-395,1103
12, 5/19/2020 12:04:46 PM,45,1082
13, 5/19/2020 12:04:41 PM,-628,1770
,,,
11, 5/19/2020 12:04:47 PM,-395,1104
12, 5/19/2020 12:04:47 PM,44,1083
13, 5/19/2020 12:04:41 PM,-628,1770
,,,
11, 5/19/2020 12:04:49 PM,-438,1092
12, 5/19/2020 12:04:49 PM,27,1086
13, 5/19/2020 12:04:41 PM,-628,1770
,,,
11, 5/19/2020 12:04:50 PM,-434,1095
12, 5/19/2020 12:04:50 PM,27,1091
13, 5/19/2020 12:04:41 PM,-628,1770
,,,
11, 5/19/2020 12:04:51 PM,-402,1105
12, 5/19/2020 12:04:51 PM,26,1107
13, 5/19/2020 12:04:52 PM,-640,1770
,,,
11, 5/19/2020 12:04:53 PM,-412,1096
12, 5/19/2020 12:04:53 PM,28,1327
13, 5/19/2020 12:04:53 PM,-529,1770
,,,
11, 5/19/2020 12:04:54 PM,-347,1126
12, 5/19/2020 12:04:54 PM,38,1485
13, 5/19/2020 12:04:54 PM,-212,1731
,,,
11, 5/19/2020 12:04:56 PM,-261,1161
12, 5/19/2020 12:04:56 PM,-46,1702
13, 5/19/2020 12:04:56 PM,152,1759
,,,
11, 5/19/2020 12:04:57 PM,-209,1292
12, 5/19/2020 12:04:56 PM,-46,1702
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:04:59 PM,-121,1589
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:04:59 PM,-51,1770
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:07 PM,-116,1689
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:08 PM,-320,1472
